bathrooms,bedrooms,breadcrumbs,description,image_url,location,price,property_id,property_name,property_type,seller_name
4,4,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Jawahar Nagar",Villa for rent in prime location at calicut city.  Opposite sale tax office ( Jawahar nagar colony). 1 km from baby memmorial hospital and Bus stand. Facility Available: 1   infront 24Hrs ATM and SBI Banking facility 2   24/7 Home delivery Grocery.  3   24/7 Water & Electricity and maintenence. 4  Free childrens park & Batmenten court.  5   500 mtr away Sarovaram Eco park. 6   2 parking inside and 2 parking outside.,https://apollo.olx.in:443/v1/files/gv7c0kyqz5t6-IN/image;s=850x0,"Jawahar Nagar, Kozhikode, Kerala","₹ 23,000",1615046690,3 Bds - 4 Ba - 2200 ft2,Houses & Villas,
1,1,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal","Branded flat for rent & sale available in Calicut 1 BHK BRANDED FULLY FURNISHED FLAT FOR RENT NEAR POTTAMMAL located in a prime location  * Very close pottammal, palazhi Road, Puthiyara ,  mavoor road , Baby memorial hospital, mims hospital, mufussil bus stand, Thondayad Junction , Cyber park, Hilite city   Amenities  : GYM Party area Children play area  Lift  24 Hr Security 24 Hr power backup Covered parking    Expecting rent : 18000 + mnc  Note : images shown are for representation purpose only . actual building differ . Call  between : 10 am - 7 pm (Sunday off)",https://apollo.olx.in:443/v1/files/wc4lxzylcd731-IN/image;s=850x0,"Pottammal, Kozhikode, Kerala","₹ 18,000",1775087432,1 Bds - 1 Ba - 1000 ft2,Apartments,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba",Fully furnished 2 BHK house for rent * Dining hall * Kitchen * Work area * Store room * Well water * 3 bathrooms (attached and common) * Parking area * Fridge * A/c * Cot * Bed * Almirah  * Dining table * Chairs * Gas stove,https://apollo.olx.in:443/v1/files/m5b7bsq5bsql-IN/image;s=850x0,"Karaparamba, Kozhikode, Kerala","₹ 16,000",1775503907,2 Bds - 3 Ba - 2000 ft2,Houses & Villas,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu","Branded flat for rent & sale available in Calicut 3 BHK  BRANDED FULLY FURNISHED FLAT FOR RENT NEAR MIMS Very close mims, puthiyara, kallayi, chalapuram,  mavoor road, baby memorial hospital  Amenities  : Swimming pool GYM Party area Children play area  Lift  24 Hr Security 24 Hr power backup Covered parking    Expecting rent : 29000 + mnc  Note : images shown are for representation purpose only . actual building differ . Call  between : 10 am - 7 pm (Sunday off)",https://apollo.olx.in:443/v1/files/qz08ao1orne3-IN/image;s=850x0,"Mankavu, Kozhikode, Kerala","₹ 29,000",1775089112,3 Bds - 3 Ba - 1320 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Parayanchery",2 bhk Ground floor for rent,https://apollo.olx.in:443/v1/files/bqe8kcv09vj23-IN/image;s=850x0,"Parayanchery, Kozhikode, Kerala","₹ 15,000",1775509621,2 Bds - 2 Ba - 800 ft2,Houses & Villas,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Parayanchery",3 bhk house for Rent Near SK park 15000 Rent,https://apollo.olx.in:443/v1/files/4ukb851z9dfm-IN/image;s=850x0,"Parayanchery, Kozhikode, Kerala","₹ 15,000",1775509051,3 Bds - 3 Ba - 1750 ft2,Houses & Villas,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kovoor",3 bhk for rent,,"Kovoor, Kozhikode, Kerala","₹ 25,000",1775512884,3 Bds - 3 Ba - 1850 ft2,Houses & Villas,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu",1 bhk Methotutazam Furnished flat 20000 k adv 4 months  2 bhk at Tadampatutazam Furnished flat lease 20 lacs. 3 bhk at Metromax semi furnished flat 27500 k adv 4 months . 3 bhk at Methotutazam Furnished flat 28000 k adv 3 months 3 bhk at Bmh  Furnished flat 32000 k adv 3 months. 2 bhk at Kunnathpalam Furnished flat at 30000 k adv 3 months. 3 bhk at Karaparambu semi furnished flat 28000 k adv 3 months. 3 bhk at Hilite res Furnished flat 45000 k adv 3 months. 2 bhk at Metromax Furnished flat 25000 k adv 4 months. 2 bhk at Tondayaad semi furnished flat 23000 k adv 3 months 2 bhk at Kotooly semi furnished flat 20000 k adv 3 months. 3 bhk at Cherooty rd Furnished flat 25000 k adv 3 months. 2 bhk at Ima semi furnished flat 16000 k adv 3 months. 3 bhk at Tc1 Furnished flat 45000 k adv 3 months. 3 bhk at Potammal Furnished flat 33000 k adv 3 months. 3 bhk at Taj semi furnished flat at 30000 k adv 3 months 2 bhk at Xtian clg semi furnished flat 20000 k adv 3 months. 2 bhk at Exotica Furnished flat 30000 k adv 3 months. 3 bhk at Meenchanda Furnished flat 35000 k adv 4 months 2 bhk at Manorama semi furnished flat at 30000 k adv 3 months. 2 bhk at Tagore  Furnished flat 25000 k adv 4 months. 3 bhk at Pm kuty semi furnished flat 22000 k adv 3 months. 2 bhk at Jafferkhan semi furnished flat 18000 k adv 3 months. 3 bhk at Puthiyengadi semi furnished flat 30000 k adv 3 months. 2 bhk YMCA Furnished flat 35000 k adv 4 months. 3 bhk at Ksrtc Furnished flat 26500 k adv 3 months. 2 bhk at Civil station semi furnished flat 16000 k adv 3 months. 3 bhk at Paniker rd semi furnished flat 28000 k adv 3 months. 3 bhk at Bmh Furnished flat 35000 k adv 3 months. 2 bhk at Parayanjeri semi furnished flat 18000 k adv 3 months. 2 bhk at Westhill Furnished flat at 22000 k adv 3 months. 3 bhk at Hilite res Furnished flat at 50000 k adv 3 months. 2 bhk at Koya rd semi furnished flat 17000 k adv 3 months. 2 bhk at Tali semi furnished flat 26000 k adv 3 months. 3 bhk at Mims Furnished flat 35000 k adv 4 months. 3 bhk at Tripenta semi furnished flat at 28000 k adv 3 months. 1 bhk at Perumanna Furnished flat 20000 k adv 4 months. 2 bhk flat Ksrtc Furnished flat at 22500 k adv 4 months. 1 bhk at Koovur Furnished flat 18000 k adv 4 months. 2 bhk at Taj semi furnished flat at 18000 k adv 3 months. 2 bhk at Chakorthukulam semi furnished flat at 19000 k adv 3 months. 2 bhk at Cherooty rd Furnished flat at 30000 k adv 3 months. 2 bhk at Kallayi semi furnished flat at 16000 k adv 3 months. 3 bhk at Meitra Lil Furnished flat at 34000 k adv 4 months. 2 bhk at Mankavu lil Furnished flat at 22000 k adv 3 months. 2 bhk at Westhill semi furnished flat at 20000 k adv 3 months. 2 bhk at Eranipalam semi furnished flat at 19000 k adv 3 months. 1 bhk at Abacus Furnished flat at 20000 k adv 3 months. 3 bhk at Kotooly semi furnished flat at 32000 k adv 3 months. 3 bhk at bhat rd semi furnished flat at 25000 k adv 3 months. 2 bhk at Iringadanpally semi furnished flat at 17000 k adv 3 months. 2 bhk at Malaparambu Furnished flat at 23000 k adv 4 months. 2 bhk at Patteri Furnished flat for lease at 20 lacs. 3 bhk at Kunduparambu Furnished flat at 28000 k adv 4 months. 2 bhk Furnished flat at Karaparambu 30000 k adv 3 months. 2 Bhk flat Furnished at Perumanna 20000 k adv 3 months. 1 Bhk flat Furnished at Malaparambu at 18000 k adv 4 months. 2 Bhk flat Perumanna semi furnished at 17000 k adv 3 months. 2 bhk Furnished flat at Meenchanda  at 30000 k adv 3 months. Service charge as per industry standards.we are real estate consultants.,https://apollo.olx.in:443/v1/files/6zm9jwgjwu1c3-IN/image;s=850x0,"Nadakkavu, Kozhikode, Kerala","₹ 17,000",1569963250,3 Bds - 3 Ba - 1550 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal","Branded flat for rent & sale available in Calicut 2 BHK  FULLY FURNISHED APARTMENT FOR RENT NEAR PUTHIYARA  located in a prime location  * Very close Puthiyara, Potammal, thondayad junction, Arayidath palam, kottuli , baby memorial hospital, Mavoor Road, mofussil bus stand, Mims hospital, mankavu   Amenities  : Party area  Lift  24 Hr Security 24 Hr power backup parking    Expecting rent : 20,000 + mnc  Note : images shown are for representation purpose only . actual building differ . Call  between : 10 am - 7 pm (Sunday off)",https://apollo.olx.in:443/v1/files/11qrtjmf2dvj-IN/image;s=850x0,"Pottammal, Kozhikode, Kerala","₹ 20,000",1775088114,2 Bds - 2 Ba - 1000 ft2,Apartments,
4,4,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in East Hill",4 bhk for Rent  Rent 25000 1 lakh Advance,https://apollo.olx.in:443/v1/files/0wmnqh6dn3hw2-IN/image;s=850x0,"East Hill, Kozhikode, Kerala","₹ 25,000",1775510043,4 Bds - 4 Ba - 1800 ft2,Houses & Villas,
